0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,4,6,0,0,0,1,3,0,7,0,2,0,0,164796878.60324055,0.0,147380017.5811222,0.03666957851546504,559150725.4068571,0.4254386550248462,14261651.781499248,0.0,27578229.96765524,0.0,84600000.0,0.0
0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,4,6,3,0,0,2,0,0,3,0,0,0,0,0,0,176479616.8250004,0.0,1676414124.0500257,0.09597719439023968,24198032.45136138,0.0,0.0,0.0,0.0,0.0,146000000.0,36153.98421644029
1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,6,0,1,1,7,0,0,7,0,0,0,1,0,0,95486976.46933737,0.0,649947331.1993108,0.19666467010270983,34221561.73832255,0.0,4616649.625559916,0.001230238351624975,86217039.69649729,0.026686485733471172,176700000.0,0.0
1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,7,1,0,1,0,0,0,0,6,0,7,0,0,0,183508018.5258278,0.0,2236612663.775095,0.8764608734413187,9279449.10277157,0.007483004765735331,30033571.88243507,0.0,0.0,0.0,425300000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,7,6,8,0,0,0,0,0,0,0,0,5,0,0,182604405.67073452,0.0,89563846.80340947,0.0038537670075964488,981646673.0484083,0.8103479509130939,0.0,0.0,36676675.840294495,0.0,512200000.00000006,0.0
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,7,0,1,0,0,0,1,0,0,0,0,9,0,6,68139002.95605196,0.0,1782747502.160946,0.24888308821782684,20299287.62732069,0.0,0.0,0.0,107608403.84178665,0.0,248500000.0,23118.43047527912
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7,3,0,3,2,1,1,0,0,0,0,9,0,2,209532275.56374696,0.0,1152488130.8482058,0.15486649855036003,46436278.27093582,0.0015841350070620896,0.0,0.0,90430170.7547297,0.0,0.0,13878.97708367255
0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,7,0,3,3,0,3,0,0,0,6,0,0,0.0,0.0,139229442.18888435,0.0008806598559370093,50962397.12067895,0.0,13777687.397690162,0.0013177423991523505,40273672.383724004,0.0,363800000.0,272.0173181125061
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,1,6,3,0,3,2,0,0,0,6,0,4,152977127.78194904,0.007704837891590675,595224662.3460113,0.025395926106707167,48716867.66610375,0.0,0.0,0.0,81105853.85915002,0.0,61400000.0,10304.823307023687
0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,7,1,0,1,7,3,2,0,0,6,0,3,32694901.094161935,0.0,136916154.01236093,0.0024821881898548217,116295928.09801123,0.008866179635131255,7332080.219521779,0.0,77404471.7832109,0.0,968200000.0,484.9088114782961
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,3,6,2,7,3,1,0,0,66507014.9338145,0.0,624278445.4384458,0.24158713931956652,58926842.49039639,0.0,34023376.16916589,0.0,25037214.086173728,0.0,248500000.0,0.0
1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,2,5,3,3,1,0,0,1,0,0,3,4,1,0,1,148484900.1086324,0.0,285691278.8044378,0.08311297724961206,20299287.62732069,0.0,19176830.963968083,0.0,50929971.20054293,0.0,1043500000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,3,0,7,134679652.94879463,0.01232774062654508,1092350081.488131,0.1524685470209026,728693991.996796,0.21403428634591748,0.0,0.0,79232000.72221279,0.0,0.0,21788.48266881946
0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,3,3,0,2,1,0,0,0,0,0,5,7,0,0,0,8,83497824.69174261,0.0,1782747502.160946,0.0829610294059423,0.0,0.0,27939401.706900492,0.0,48463701.69719181,0.0,417700000.0,47681.762855263194
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,7,5,0,7,2,7,0,3,2,0,0,5,0,1,215352213.86650074,0.0,875688207.9674147,0.10772014839396656,64835987.44502628,0.0,7332080.219521779,0.0,66294113.011456475,0.0,0.0,9872.983183528842
0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,4,6,1,0,0,0,0,0,0,0,3,0,3,82177854.37813279,0.0,133128781.15888175,0.003266281652999741,84251988.1623013,0.025247155091730544,0.0,0.0,63921995.57957761,0.0,438700000.0,1135.015278362797
1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,5,0,1,0,0,0,3,5,6,0,1,0.0,0.0,782248106.7676768,0.1014230801693282,20299287.62732069,0.0,20696082.48629594,0.0,70903162.7249229,0.0,1471100000.0,9663.580886634243
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,0,0,0,7,0,0,0,6,0,7,144276257.50900897,0.03424372396262522,156136289.7836995,0.006982621375693054,825325405.0382069,0.6536822485175483,4616649.625559916,0.001230238351624975,94338185.77629063,0.0,0.0,0.0
0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,7,6,0,1,0,0,0,0,1,0,0,1,0,0,182604405.67073452,0.0,1592982107.5769951,0.6103435340853951,0.0,0.0,6320800.309666242,0.0,25037214.086173728,0.0,402100000.0,0.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,5,7,7,0,0,0,0,0,0,2,4,0,5,0,1,236553880.5221526,0.0,2137066695.4533944,0.12598300156732317,0.0,0.0,17701182.393370774,0.0,66294113.011456475,0.0,30700000.0,47217.46037001805
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,6,1,0,2,1,3,0,0,0,2,0,0,3,185988733.59026313,0.00616387031327254,1802585332.491485,0.24894200351890441,45324187.55237766,0.0,7332080.219521779,0.0,30351526.042379983,0.0,0.0,22804.46879594765
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,6,0,2,1,1,2,0,1,1,6,5,1,0,2,60717312.84309486,0.0,935953927.7347548,0.05025716518491492,43878096.290305056,0.0,33341135.190111157,0.0,53557815.768892445,0.0,205800000.0,17425.61437421763
